stop_id,level_id,stop_name,stop_lat,stop_lon,location_type,parent_station
mweIBNnV, ,Gandhi Statute, 13.035349514555287, 80.25053827432316, 0,
unwjyJBU, ,Vembuliamman Koil, 13.046364124261219, 80.18935961074374, 0,
zciPUDzN, ,Sivan Kovil, 13.095994543948803, 80.18779079791118, 0,
HlDVDeuO, ,Erikkarai, 12.968077206632545, 80.24062614117604, 0,
YuDiQHGe, ,Vasantham Colony, 13.094695585595193, 80.20621057053154, 0,
BsiptQCD, ,Alamathi Sub Station, 13.210363662787994, 80.09945942082413, 0,
BGrlRyyC, ,Vengaivasal Road Chithalapakkam, 12.899554727924547, 80.18284822505802, 0,
SfWchOoX, ,Telephone Exchange Guindy, 13.012122678101457, 80.21240788201249, 0,
yRpreQRc, ,Mathur Gate, 13.166832439619041, 80.2455168143573, 0,
KCvWJpxq, ,Moulivakkam L and T, 13.019196146525859, 80.1425371283774, 0,
RZSdunHk, ,Nolambur Police Booth, 13.08046652259204, 80.16169736441802, 0,
BvslMGxq, ,Pudhukuppam Koil Kallur, 13.486164390568513, 80.20918600721802, 0,
XQUhYonT, ,Salmon Kuppam, 12.654900007028427, 80.20678012737812, 0,
TurKlwMz, ,Ellaiamman Kovil, 13.157016559479278, 80.30155602891318, 0,
llwypiEj, ,Santhi Colony, 13.082316184509459, 80.21747612361935, 0,
ZqROcYrU, ,Kaduvetti, 13.078265711537929, 80.11047821550233, 0,
jeadfqyj, ,Mint Bus Terminal Or Vallalar Nagar, 13.106240523817197, 80.27987218962357, 0,
oUmVLfUX, ,Madhavaram Bypass, 13.141271690381386, 80.2184871321432, 0,
hVMLOzME, ,Madhavaram Bypass, 13.14048418060415, 80.21864907051247, 0,
yGnjFAhM, ,Akkarai or Water Supply Head Work, 12.898332685778511, 80.24746348998792, 0,
ATPUTdyf, ,Bharathiyar Nagar, 13.000269161112397, 80.12194624431596, 0,
zUgDRwiy, ,Velachery, 12.97596647, 80.22108513, 0,
SEKqfPxp, ,Pudupakkam, 12.811038608691756, 80.20336405823332, 0,
leVkrEcC, ,Thirumullaivoyal Venkatachalam Nagar, 13.14462732175538, 80.13527160059141, 0,
QdPMJYQQ, ,Chinnakadaigai, 13.165404560285472, 80.12958219571101, 0,
EMzKPzug, ,MKB Nagar East, 13.122963569151263, 80.25984388015752, 0,
qErQsNEG, ,Vada Nemmeli, 12.74383447563851, 80.238479174281, 0,
gHsMrfeg, ,Bharath Electronics, 13.019842110080896, 80.20346833810765, 0,
dkEskUud, ,MGR Central Station, 13.08187667, 80.27761846, 0,
SfxDAXEq, ,Thirumangalam Or Sunguvarchattram, 13.08546828, 80.19909876, 0,
yGEvOQma, ,Manali Church, 13.16816640893727, 80.25825469386575, 0,
ZIieNEvD, ,Ambedkar Nagar Camp Road, 12.917506237071837, 80.1456864521383, 0,
FrCulsqF, ,Sriperumbudur Bypass, 12.962526559415991, 79.94496915715445, 0,
jFRqfnFl, ,Thirusoolam National Airport, 12.979372299463616, 80.16225610684478, 0,
gOHjFflk, ,Pananjalai, 13.453888393076568, 80.19459365484818, 0,
GmYSaAKv, ,Irumbuliyur, 12.917314145727545, 80.10744286171752, 0,
lWnrzrzW, ,Nasarath, 13.18423249853604, 79.94662934235396, 0,
NWHVZGmo, ,Nanganallur Bus Terminus, 12.978012866719492, 80.18158289714393, 0,
wFiJapOA, ,Vishwaksena Arts and Science College, 13.048280083789278, 79.91402916876399, 0,
VXthmpcS, ,Mullai Nagar, 13.186246866563875, 80.30359469285952, 0,
rQuvSvCO, ,Street No 31, 13.109082692592072, 80.18348611697206, 0,
FZsFzszJ, ,Vandalur Gate, 12.89311473169435, 80.08640892276996, 0,
AQHsowCO, ,Vaniyanchavadi Padma Adarsh School, 12.826347836413337, 80.23128127090364, 0,
KMyppKEi, ,JJ Nagar East Fire Station, 13.084869400430959, 80.18746592082357, 0,
kLICeNVS, ,Jammi Building, 13.047553520426423, 80.26871467752233, 0,
MMfKYZmE, ,Walajabad Railway Station, 12.797611434251994, 79.81932982233286, 0,
qoUdlNYB, ,MMDA Water Tank, 13.168991394406527, 80.24775390605237, 0,
IXwVPQjX, ,Ioc Bus Depot, 13.138871837155843, 80.28173398305012, 0,
klenweCZ, ,New College, 13.054067496510541, 80.2610771499219, 0,
XFPAZveS, ,Tambaram Railway Station, 12.925641090542161, 80.11732575024665, 0,
mVEVDSfc, ,Madurapakkam, 12.86801365371179, 80.17113214570952, 0,
